,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist,genre
7017,0.785,0.672,8,-1.609,1,0.0514,0.00719,2.55E-06,0.0626,0.738,164.007,audio_features,52CBUrIdyf8tbZaUY9iawE,spotify:track:52CBUrIdyf8tbZaUY9iawE,https://api.spotify.com/v1/tracks/52CBUrIdyf8tbZaUY9iawE,https://api.spotify.com/v1/audio-analysis/52CBUrIdyf8tbZaUY9iawE,205373,4,After School,Weeekly,popular
7018,0.769,0.926,6,-3.475,1,0.0689,0.173,0,0.27,0.844,175.979,audio_features,4cK8aSO2Ec4gmIjhtHfAKd,spotify:track:4cK8aSO2Ec4gmIjhtHfAKd,https://api.spotify.com/v1/tracks/4cK8aSO2Ec4gmIjhtHfAKd,https://api.spotify.com/v1/audio-analysis/4cK8aSO2Ec4gmIjhtHfAKd,217972,4,Right Through Me,DAY6 (Even of Day),popular
7019,0.689,0.771,5,-2.283,1,0.0526,0.0261,0,0.114,0.5,170.006,audio_features,332GJ8ykVuEt3jOT1sy7j6,spotify:track:332GJ8ykVuEt3jOT1sy7j6,https://api.spotify.com/v1/tracks/332GJ8ykVuEt3jOT1sy7j6,https://api.spotify.com/v1/audio-analysis/332GJ8ykVuEt3jOT1sy7j6,220920,4,Hello Future,NCT DREAM,popular
7020,0.634,0.928,1,-4.37,0,0.121,0.187,0,0.11,0.753,92.924,audio_features,4EF941VzqGMLFnYlXH03hG,spotify:track:4EF941VzqGMLFnYlXH03hG,https://api.spotify.com/v1/tracks/4EF941VzqGMLFnYlXH03hG,https://api.spotify.com/v1/audio-analysis/4EF941VzqGMLFnYlXH03hG,179707,4,Make it,2PM,popular
7021,0.632,0.762,8,-4.398,0,0.0698,0.201,0,0.149,0.629,87.98,audio_features,3lYHmpjkm95UbQz76S47xZ,spotify:track:3lYHmpjkm95UbQz76S47xZ,https://api.spotify.com/v1/tracks/3lYHmpjkm95UbQz76S47xZ,https://api.spotify.com/v1/audio-analysis/3lYHmpjkm95UbQz76S47xZ,212480,4,Mixtape : OH,Stray Kids,popular
7022,0.545,0.803,1,-5.187,1,0.0948,0.00323,0,0.0906,0.695,109.997,audio_features,3VqeTFIvhxu3DIe4eZVzGq,spotify:track:3VqeTFIvhxu3DIe4eZVzGq,https://api.spotify.com/v1/tracks/3VqeTFIvhxu3DIe4eZVzGq,https://api.spotify.com/v1/audio-analysis/3VqeTFIvhxu3DIe4eZVzGq,164442,4,Butter,BTS,popular
7023,0.736,0.663,1,-1.399,1,0.0459,0.351,0,0.349,0.644,185.869,audio_features,3cGp1jXxLReLKz7QgVbWZR,spotify:track:3cGp1jXxLReLKz7QgVbWZR,https://api.spotify.com/v1/tracks/3cGp1jXxLReLKz7QgVbWZR,https://api.spotify.com/v1/audio-analysis/3cGp1jXxLReLKz7QgVbWZR,218880,4,Hello,JOY,popular
7024,0.745,0.684,11,-2.72,0,0.152,0.00458,5.84E-06,0.158,0.595,97.968,audio_features,1Zsy7gMUcHDhxC0bbyZmC2,spotify:track:1Zsy7gMUcHDhxC0bbyZmC2,https://api.spotify.com/v1/tracks/1Zsy7gMUcHDhxC0bbyZmC2,https://api.spotify.com/v1/audio-analysis/1Zsy7gMUcHDhxC0bbyZmC2,213027,4,GAMBLER,Monsta X,popular
7025,0.759,0.459,8,-4.669,1,0.38,0.0362,9.29E-06,0.101,0.808,104.703,audio_features,2bR7KFQESL278uZAc1vb4U,spotify:track:2bR7KFQESL278uZAc1vb4U,https://api.spotify.com/v1/tracks/2bR7KFQESL278uZAc1vb4U,https://api.spotify.com/v1/audio-analysis/2bR7KFQESL278uZAc1vb4U,213493,4,LOVE% (feat. DAWN),DEMIAN,popular
7026,0.392,0.894,2,-6.173,1,0.301,0.0312,0,0.327,0.603,187.922,audio_features,42M4c2TDlaJgNz08vsEoYD,spotify:track:42M4c2TDlaJgNz08vsEoYD,https://api.spotify.com/v1/tracks/42M4c2TDlaJgNz08vsEoYD,https://api.spotify.com/v1/audio-analysis/42M4c2TDlaJgNz08vsEoYD,198107,4,Ugly Dance,ONF,popular
